comuna_cut,region_cut,comuna,fcm_dependency_pct_2025,fet_royalty_mineria_mclp_2025,ipp_percapita_mclp_2025,poverty_casen_pct_2025,presup_percapita_mclp_2025,professionalization_pct_2025,staff_contrata_directivo_2025,staff_contrata_profesional_2025,staff_directivo_total_2025,staff_planta_directivo_2025,staff_planta_profesional_2025,staff_profesional_total_2025,staff_total_2025,fcm_dependency_pct_2024,fet_royalty_mineria_mclp_2024,ipp_percapita_mclp_2024,poverty_casen_pct_2024,presup_percapita_mclp_2024,professionalization_pct_2024,staff_contrata_directivo_2024,staff_contrata_profesional_2024,staff_directivo_total_2024,staff_planta_directivo_2024,staff_planta_profesional_2024,staff_profesional_total_2024,staff_total_2024
12401,12,Natales,50.0,367696.0,240.46,3.1,836.93,36.84,0.0,12.0,14.0,14.0,7.0,19.0,114.0,46.03,157371.0,217.44,3.1,724.98,33.04,0.0,9.0,12.0,12.0,7.0,16.0,112.0
12402,12,Torres Del Paine,77.34,277617.0,578.37,5.3,3251.43,48.28,1.0,12.0,9.0,8.0,1.0,13.0,29.0,78.03,118780.0,498.91,5.27,2679.99,53.85,1.0,2.0,8.0,7.0,1.0,3.0,26.0
13101,13,Santiago,9.7,0.0,233.51,3.9,399.67,20.64,0.0,206.0,45.0,45.0,0.0,206.0,1904.0,10.97,0.0,226.24,3.86,389.78,25.25,0.0,196.0,50.0,50.0,192.0,388.0,2174.0
13102,13,Cerrillos,22.57,0.0,220.22,5.2,361.6,,0.0,26.0,110.0,110.0,14.0,40.0,,22.82,0.0,212.97,5.23,347.47,32.11,0.0,30.0,22.0,22.0,39.0,69.0,299.0
13103,13,Cerro Navia,85.15,2272758.0,30.32,6.0,238.78,33.42,0.0,58.0,17.0,17.0,38.0,96.0,398.0,86.83,986089.0,25.25,6.01,231.35,35.93,0.0,69.0,16.0,16.0,41.0,110.0,423.0
13104,13,Conchalí,58.47,1220777.0,83.44,6.1,453.86,30.06,0.0,15.0,22.0,22.0,9.0,24.0,326.0,58.39,508553.0,78.67,6.08,408.08,24.35,0.0,18.0,24.0,24.0,9.0,27.0,345.0
13105,13,El Bosque,79.73,2313353.0,41.57,6.2,252.0,36.03,0.0,48.0,19.0,19.0,44.0,92.0,494.0,78.54,1002625.0,41.99,6.2,232.25,34.33,0.0,50.0,19.0,19.0,44.0,94.0,469.0
13106,13,Estación Central,34.87,0.0,114.45,5.0,234.5,24.29,0.0,75.0,19.0,19.0,54.0,129.0,597.0,34.86,0.0,109.82,5.04,222.01,23.31,0.0,73.0,15.0,15.0,56.0,129.0,652.0
13107,13,Huechuraba,8.07,0.0,400.29,4.3,514.89,47.9,0.0,92.0,27.0,27.0,75.0,167.0,453.0,8.77,0.0,365.5,4.28,471.43,47.3,0.0,97.0,29.0,29.0,73.0,170.0,482.0
13108,13,Independencia,44.99,0.0,91.17,5.8,199.23,35.01,0.0,54.0,10.0,10.0,45.0,99.0,357.0,45.81,0.0,88.38,5.83,197.08,35.96,0.0,52.0,13.0,13.0,46.0,98.0,317.0
13109,13,La Cisterna,39.52,587204.0,113.63,4.1,258.73,29.29,0.0,31.0,15.0,15.0,21.0,52.0,297.0,39.38,240295.0,111.68,4.09,255.87,34.3,0.0,36.0,16.0,16.0,24.0,60.0,309.0
13110,13,La Florida,43.1,0.0,128.37,3.5,442.2,38.28,0.0,108.0,50.0,50.0,114.0,222.0,781.0,45.43,0.0,115.96,3.53,421.05,36.25,0.0,111.0,46.0,46.0,112.0,223.0,778.0
13111,13,La Granja,80.29,1676611.0,41.93,6.0,252.49,36.05,0.0,97.0,16.0,16.0,41.0,138.0,491.0,78.43,732998.0,44.18,6.03,250.14,30.71,0.0,54.0,14.0,14.0,41.0,95.0,394.0
13112,13,La Pintana,81.19,2937514.0,42.48,9.3,265.98,30.25,0.0,56.0,23.0,23.0,63.0,119.0,529.0,82.98,1332045.0,35.54,9.29,237.6,30.17,0.0,54.0,24.0,24.0,60.0,114.0,484.0
13113,13,La Reina,7.41,0.0,336.94,1.6,547.31,33.01,0.0,2.0,13.0,13.0,56.0,58.0,415.0,7.84,0.0,312.66,1.6,510.56,25.0,0.0,49.0,11.0,11.0,52.0,101.0,404.0
13114,13,Las Condes,2.23,0.0,676.74,0.9,1334.34,50.22,0.0,194.0,76.0,76.0,212.0,406.0,1157.0,2.34,0.0,640.92,0.91,1257.33,44.48,0.0,142.0,75.0,75.0,211.0,353.0,1086.0
13115,13,Lo Barnechea,2.2,0.0,918.1,0.9,1142.53,43.49,0.0,136.0,53.0,53.0,108.0,244.0,561.0,2.24,0.0,901.45,0.9,1090.04,57.5,0.0,160.0,50.0,50.0,90.0,250.0,553.0
13116,13,Lo Espejo,76.86,1426923.0,50.7,6.8,269.42,36.59,0.0,39.0,8.0,8.0,19.0,58.0,276.0,78.77,607141.0,42.4,6.78,252.81,,,,,,,,
13117,13,Lo Prado,83.54,1569166.0,35.87,5.3,586.07,31.45,0.0,31.0,15.0,15.0,35.0,66.0,337.0,82.74,703768.0,35.16,5.33,525.96,27.4,0.0,32.0,14.0,14.0,34.0,66.0,354.0
13118,13,Macul,22.01,0.0,146.0,3.5,427.45,34.6,0.0,45.0,20.0,20.0,44.0,89.0,367.0,23.01,0.0,142.12,3.47,415.02,40.58,0.0,46.0,25.0,25.0,42.0,88.0,382.0
13119,13,Maipú,60.97,4146779.0,81.68,3.3,308.9,25.96,0.0,73.0,35.0,35.0,83.0,156.0,836.0,60.15,1669703.0,78.76,3.25,297.47,21.38,0.0,82.0,26.0,26.0,62.0,144.0,814.0
13120,13,Ñuñoa,8.36,0.0,183.4,1.5,330.81,44.39,0.0,84.0,24.0,24.0,83.0,167.0,588.0,8.82,0.0,173.8,1.49,316.63,42.69,0.0,78.0,26.0,26.0,85.0,163.0,588.0
13121,13,Pedro Aguirre Cerda,70.4,1281263.0,62.58,5.5,271.05,37.79,0.0,47.0,14.0,14.0,21.0,68.0,299.0,68.58,549456.0,63.75,5.47,259.52,31.56,0.0,34.0,16.0,16.0,23.0,57.0,301.0
13122,13,Peñalolén,33.32,0.0,145.16,3.2,494.84,34.0,0.0,71.0,25.0,25.0,71.0,142.0,547.0,34.96,0.0,134.19,3.24,476.56,33.33,0.0,75.0,30.0,30.0,74.0,149.0,603.0
13123,13,Providencia,3.2,0.0,648.87,1.3,1228.61,44.16,0.0,155.0,99.0,99.0,134.0,289.0,1019.0,3.38,0.0,612.42,1.32,1174.13,42.58,0.0,142.0,98.0,98.0,137.0,279.0,1024.0
13124,13,Pudahuel,27.8,0.0,210.55,4.4,498.39,39.57,0.0,66.0,21.0,21.0,46.0,112.0,422.0,28.18,0.0,205.76,4.37,491.79,37.72,0.0,56.0,22.0,22.0,51.0,107.0,403.0
13125,13,Quilicura,19.54,0.0,195.19,5.2,277.58,30.08,0.0,44.0,13.0,13.0,52.0,96.0,472.0,20.23,0.0,181.45,5.22,262.34,29.59,0.0,48.0,14.0,14.0,57.0,105.0,463.0
13126,13,Quinta Normal,49.6,0.0,89.2,2.1,359.55,35.91,0.0,34.0,14.0,14.0,35.0,69.0,362.0,48.39,0.0,90.26,2.15,359.25,31.21,0.0,39.0,17.0,17.0,19.0,58.0,346.0
13127,13,Recoleta,21.97,0.0,152.31,5.1,228.61,33.47,0.0,38.0,20.0,20.0,126.0,164.0,487.0,23.01,0.0,148.2,5.14,231.22,36.74,0.0,48.0,22.0,22.0,78.0,126.0,430.0
13128,13,Renca,28.59,0.0,171.54,5.3,517.26,30.29,0.0,63.0,40.0,40.0,53.0,116.0,383.0,29.35,0.0,159.82,5.26,507.13,39.35,37.0,83.0,77.0,40.0,47.0,130.0,432.0
13129,13,San Joaquín,24.65,0.0,193.18,4.8,537.74,38.99,0.0,56.0,15.0,15.0,45.0,101.0,395.0,25.89,0.0,177.88,4.84,500.75,42.73,0.0,56.0,16.0,16.0,47.0,103.0,433.0
