concurso,programa,region,provincia,area_comuna,codigo_pm,instrument_type,amount_clp,amount_currency,status,status_as_of,gpc_sector,climate_relevance,source_url
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411715,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412540,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411762,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412907,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412843,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412630,grant (incentivo),558073,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412933,grant (incentivo),524973,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412643,grant (incentivo),153915,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Arauco,412692,grant (incentivo),1920346,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412953,grant (incentivo),554871,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412642,grant (incentivo),481649,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Arauco,412926,grant (incentivo),3034159,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411773,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412844,grant (incentivo),1330538,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412783,grant (incentivo),735262,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412731,grant (incentivo),737395,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
