comuna_cut,municipio,ipp_percibido_mclp,fcm_percibido_mclp,ip_percibido_mclp,ingresos_totales_percibido_mclp,ipp_devengado_mclp,fcm_devengado_mclp,ip_devengado_mclp,ingresos_totales_devengado_mclp,fcm_dependency,fcm_share_total_income,autonomy,fcm_contribution_ratio,operational_autonomy,source_vintage
06204,Marchihue,3247684,2657587,5905271,10757322,3362881,2657587,6020468,11581101,0.450036,0.247049,0.549964,1.2376257108422037,1.17198002743955,2026-06-14
06205,Navidad,1093750,7590350,8684100,9979155,1096798,7590350,8687148,10146184,0.874051,0.760621,0.125949,0.03948737541747087,1.51205986183721,2026-06-14
06206,Paredones,812309,4214566,5026875,7329637,823649,4214566,5038215,7474892,0.838407,0.575003,0.161593,0.0762189985872804,1.20143702802929,2026-06-14
06301,San Fernando,11870240,10841036,22711276,26957734,12767337,10841036,23608373,30788856,0.477342,0.402149,0.522658,0.2098741301108123,1.14826249231564,2026-06-14
06302,Chépica,1012506,4710929,5723435,8283379,1012506,4710929,5723435,8339779,0.823095,0.568721,0.176905,0.09854595558540577,1.36294523343575,2026-06-14
06303,Chimbarongo,3230378,8509286,11739664,14065520,3273234,8509286,11782520,14234650,0.724832,0.604975,0.275168,0.10686901345189244,1.1908993210868,2026-06-14
06304,Lolol,952205,2855192,3807397,5296321,996378,2855192,3851570,5376516,0.749907,0.53909,0.250093,0.10826242158145581,1.21321794890995,2026-06-14
06305,Nancagua,2288985,4454976,6743961,8472808,2339350,4454976,6794326,8569081,0.660587,0.525797,0.339413,0.12161187849272365,1.15806154761809,2026-06-14
06306,Palmilla,2127613,2958268,5085881,6420193,2259687,2958268,5217955,6986351,0.581663,0.460776,0.418337,0.2562103906745433,1.15302647057957,2026-06-14
06307,Peralillo,1779207,3012348,4791555,7193687,1779207,3012348,4791555,7584456,0.628679,0.418749,0.371321,0.16355514037554758,1.01431476695372,2026-06-14
06308,Placilla,1007831,3209079,4216910,5340973,1016542,3209079,4225621,5385757,0.761002,0.600842,0.238998,0.1193722560273524,1.22331182556135,2026-06-14
06309,Pumanque,707723,2437875,3145598,4939833,709114,2437875,3146989,4975890,0.775012,0.493514,0.224988,0.1570256883556376,1.57075466280636,2026-06-14
06310,Santa Cruz,7036042,6787639,13823681,17860135,7345537,6787639,14133176,20037872,0.491015,0.380044,0.508985,0.1301592497774263,1.41140046645493,2026-06-14
07101,Talca,29114997,24987983,54102980,65025893,33336144,24987983,58324127,94214623,0.46186,0.384277,0.53814,0.20602947424768137,1.25679082642477,2026-06-14
07102,Constitución,5290971,13765788,19056759,23270889,5933607,13765788,19699395,25018992,0.722357,0.591545,0.277643,0.11897488178664381,1.17289895209567,2026-06-14
07103,Curepto,921115,5250532,6171647,7384751,982278,5250532,6232810,7488939,0.850751,0.710996,0.149249,0.07215173624310832,1.33325937914777,2026-06-14
07104,Empedrado,350516,3782516,4133032,5210885,350516,3782516,4133032,5210885,0.915192,0.725887,0.084808,0.06745748068217028,1.38784980982273,2026-06-14
07105,Maule,3441428,12576649,16018077,19157321,3523620,12576649,16100269,19361438,0.785153,0.656493,0.214847,0.1481854188663451,1.54953266598048,2026-06-14
07106,Pelarco,8314352,3072486,11386838,24305375,8327424,3072486,11399910,24403724,0.269828,0.126412,0.730172,3.8013497864595642,1.86693286455223,2026-06-14
07107,Pencahue,1322800,2730778,4053578,5383867,1322800,2730778,4053578,5391207,0.673671,0.507215,0.326329,0.33020516497496316,1.12208715544269,2026-06-14
07108,Río Claro,3464518,3311913,6776431,9809712,3651950,3311913,6963863,10401838,0.48874,0.337616,0.51126,0.6855506168187389,1.39052488154819,2026-06-14
07109,San Clemente,4508080,11411161,15919241,19302959,4510104,11411161,15921265,20184712,0.716816,0.591161,0.283184,0.10391712114131069,1.32859320642549,2026-06-14
07110,San Rafael,1411659,3743380,5155039,6983999,1445873,3743380,5189253,7189901,0.726159,0.535994,0.273841,0.15501418504132627,1.76840759445558,2026-06-14
07201,Cauquenes,3356592,12170020,15526612,18328635,3431756,12170020,15601776,18704877,0.783817,0.663989,0.216183,0.08607438607331787,1.16347602600251,2026-06-14
07202,Chanco,705963,4861445,5567408,7314351,705963,4861445,5567408,7543987,0.873197,0.664645,0.126803,0.0905911719663598,1.22619652769763,2026-06-14
07203,Pelluhue,1094567,9716718,10811285,13317574,1094567,9716718,10811285,13544134,0.898757,0.729616,0.101243,0.04986076574415353,1.38751391038752,2026-06-14
07301,Curicó,20689523,19027009,39716532,47653697,20689523,19027009,39716532,47653697,0.47907,0.399277,0.52093,0.23790728222181426,1.19016221661357,2026-06-14
07302,Hualañé,1328376,3747899,5076275,7718907,1328376,3747899,5076275,7733642,0.738317,0.485548,0.261683,0.18777400351503604,1.18262396435733,2026-06-14
07303,Licantén,1250036,6413710,7663746,9812373,1250036,6413710,7663746,9875461,0.83689,0.653635,0.16311,0.12821549462011847,1.40744597388058,2026-06-14
07304,Molina,4408325,11356961,15765286,17828199,4481796,11356961,15838757,18397655,0.720378,0.637022,0.279622,0.10097173002531223,1.09061568687134,2026-06-14
07305,Rauco,1418946,3648087,5067033,7048508,1469669,3648087,5117756,8514254,0.719965,0.517569,0.280035,0.3450257628176082,1.65645774033437,2026-06-14
07306,Romeral,3230958,3348437,6579395,8481460,3232783,3348437,6581220,8538821,0.508928,0.394795,0.491072,0.31699267449260654,1.54715372785462,2026-06-14
07307,Sagrada Familia,4664901,3648414,8313315,11110658,4687717,3648414,8336131,11309675,0.438864,0.328371,0.561136,0.3673519507380467,1.21760767100383,2026-06-14
07308,Teno,4247683,4769023,9016706,11079031,4247683,4769023,9016706,11208994,0.52891,0.430455,0.47109,0.21905157513394252,1.05574644773118,2026-06-14
07309,Vichuquén,2833967,2584031,5417998,7701544,3465701,2584031,6049732,9978642,0.476935,0.335521,0.523065,0.32193963617309546,1.51146768643813,2026-06-14
07401,Linares,8850106,19796922,28647028,33252185,10069958,19796922,29866880,41396833,0.691064,0.595357,0.308936,0.13170289805657667,1.27345061437364,2026-06-14
07402,Colbún,7073881,5227784,12301665,22337829,7103452,5227784,12331236,23447722,0.424966,0.234033,0.575034,1.6068276730637685,1.31458044271641,2026-06-14
