"gpc_sector","subsector","parameter_description","unit","minimum_geographic_granularity","data_type","declared_source_count","gap_status","source_1_provider","source_1_dataset_url","source_1_methodology_url","source_1_latest_reporting_year","source_1_year_coverage","source_1_geographic_coverage","source_1_granularity","source_2_provider","source_2_dataset_url","source_2_methodology_url","source_2_latest_reporting_year","source_2_year_coverage","source_2_geographic_coverage","source_2_granularity","source_3_provider","source_3_dataset_url","source_3_methodology_url","source_3_latest_reporting_year","source_3_year_coverage","source_3_geographic_coverage","source_3_granularity"
"Stationary","Non residential","Industrial fuel use","kWh","City","Activity","1","","","","","","","Brazil","","Climate Trace method","https://github.com/climatetracecoalition/methodology-documents/blob/main/2025/Buildings/Estimating%20Global%20High-Resolution%20Onsite%20Building%20Emissions-Building%20sector-112025.docx.pdf","","2026","","Global","Facility / City","","","","","","",""
"Stationary","Non residential","Industrial fuel efficiency","Varied","Global","Efficiency factor","1","","","","","","","Brazil","","Climate Trace method","https://github.com/climatetracecoalition/methodology-documents/blob/main/2025/Buildings/Estimating%20Global%20High-Resolution%20Onsite%20Building%20Emissions-Building%20sector-112025.docx.pdf","","2026","","Global","Facility / City","","","","","","",""
"Stationary","Generation","Grid composition","%","State","Activity","3","","Government Brazil","https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene/dados-e-ferramentas/fatores-de-emissao","","2026","","Brazil","sub-national","Climate Trace method","https://github.com/climatetracecoalition/methodology-documents/blob/main/2025/Buildings/Estimating%20Global%20High-Resolution%20Onsite%20Building%20Emissions-Building%20sector-112025.docx.pdf","","2026","","Global","National","Electricity maps","https://app.electricitymaps.com/map/zone/ET/all/yearly","","2026","2017-2026","Global","Sub-national"
"Stationary","Generation","Storage capacity","MWh","City or State","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","Generation","Distributed renewables Capacity","MW / type of RE","City or State","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Stationary","Generation","Power plants information","Varied","City or State","Activity","2","","","","","","","Brazil","","Climate Trace method","https://github.com/climatetracecoalition/methodology-documents/blob/main/2025/Buildings/Estimating%20Global%20High-Resolution%20Onsite%20Building%20Emissions-Building%20sector-112025.docx.pdf","","2026","","Global","Facility / City","GEM","https://globalenergymonitor.org/projects/global-coal-plant-tracker","","2026","","Global","Facility"
"Stationary","Generation","Average irradiance (kWh per kW)","kWh/m2","City","Activity","2","","","","","","","Brazil","","NLR","https://pvwatts.nlr.gov/pvwatts.php","","2026","","Global","City","PVGIS","https://joint-research-centre.ec.europa.eu/photovoltaic-geographical-information-system-pvgis_en","","2026","","Global","City"
"Transportation","Road","Vehicles kilometers travelled","km/year","City","Activity","2","","","","","","","Brazil","","Google EIE","https://insights.sustainability.google/places/ChIJP3hMRj9MxwcRyjdrDArGYUY?hl=en-USS","","2023","","Global","City","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","2026","","Global","City"
"Transportation","Road","Commercial VKT","km/year","City","Activity","1","","","","","","","Brazil","","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","2026","","Global","City","","","","","","",""
"Transportation","Road","Number of vehicles","number","City","Activity","2","","FENABRAVE","https://www.fenabrave.org.br/portal/files/2026_06_02.pdf","","2026-06-01","","Brazil","National","DENATRAN","https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/frota-de-veiculos-2025","","2025","","Brazil","City","","","","","","",""
"Transportation","Road","Mode share","%","City or State (if there is a difference between urban and rural)","Activity","3","","PEMOB","https://www.gov.br/cidades/pt-br/assuntos/mobilidade-urbana/pesquisa-nacional-de-mobilidade-urbana-pemob-2025","","2025","","Brazil","100 Cities in Brazil","Google EIE","https://insights.sustainability.google/places/ChIJP3hMRj9MxwcRyjdrDArGYUY?hl=en-USS","","2023","","Global","City","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","2026","","Global","City"
"Transportation","Road","Fuel sales","L","City","Activity","1","","Petroleum, Natural Gas and Biofuels National Agency (Agencia Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP)","https://www.gov.br/anp/pt-br/centrais-de-conteudo/dados-abertos/vendas-de-derivados-de-petroleo-e-biocombustiveis","","2026-06-01","","Brazil","Cities in Brazil","","","","","","","","","","","","","",""
"Transportation","Road","Electricity sales","kWh","City","Activity","0","GAP","","","","","","Brazil","","","","","","","","","","","","","","",""
"Transportation","Road","Vehicle age","euro %","City or State (if there is a difference between urban and rural)","Activity","2","","SENATRAN","https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/frota-de-veiculos-2025","","2026-06-01","","Brazil","Cities in Brazil","DENATRAN","https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/frota-de-veiculos-2025","","2025","","Brazil","City","","","","","","",""
"Transportation","Road","Vehicle fuel","%","State","Activity","2","","DENATRAN","https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/frota-de-veiculos-2025","","2026-06-01","","Brazil","Cities in Brazil","DENATRAN","https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/frota-de-veiculos-2025","","2025","","Brazil","City","","","","","","",""
"Transportation","Aviation","Vehicles kilometers travelled","km/year","City","Activity","2","","ANAC","https://www.gov.br/anac/pt-br/acesso-a-informacao/dados-abertos/areas-de-atuacao/voos-e-operacoes-aereas/voo-regular-ativo-vra","","2026","","Brazil","National","Climate Trace","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/Transportation","2026","","Global","City","","","","","","",""
