project_id,project_name,action_id,sector,jurisdiction,lifecycle_stage,evaluation_verdict,cost_total,amount_committed,amount_paid,amount_unit,duration_months,beneficiaries_total,owner_formulator,match_label,source_dataset,n_funding_sources,route
conaf-bn-1389833,"Manejo bosque nativo, Ñuble",ipcc_0054,afolu,Ñuble,executed,,,38.3,38.3,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391533,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,2887.2,2887.2,UTM,,,Consultor,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1383305,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,4.7,4.7,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386907,"Manejo bosque nativo, Biobío",ipcc_0052,afolu,Biobío,awarded,,,22.8,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1387652,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,awarded,,,57.4,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386811,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,executed,,,30.1,30.1,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391392,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,90.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386762,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,awarded,,,12.2,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1392501,"Manejo bosque nativo, Ñuble",ipcc_0054,afolu,Ñuble,awarded,,,142.7,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390083,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,awarded,,,40.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1385073,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,96.0,96.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
